"id","car_maker"
231587338,"Audi"
233443903,"Audi"
232147235,"Audi"
230047389,"Audi"
229985174,"Audi"
233443932,"Audi"
226250202,"Audi"
217369657,"Audi"
226392861,"Audi"
228486790,"Audi"
233443926,"Audi"
232168654,"Audi"
233347883,"Audi"
229092728,"Audi"
229092739,"Audi"
233443952,"Audi"
230355911,"Audi"
228918646,"Audi"
232618364,"Audi"
232573760,"Audi"
231969355,"Audi"
233122572,"Audi"
230484980,"Audi"
232285918,"Audi"
233329613,"Audi"
233329603,"Audi"
230650171,"Audi"
233556051,"Audi"
232380010,"Audi"
229676996,"Audi"
231252567,"Audi"
232121517,"Audi"
233322832,"Audi"
228839218,"Audi"
232625765,"Audi"
233329602,"Audi"
232106170,"Audi"
227955499,"Audi"
227338446,"Audi"
232743169,"Audi"
227866063,"Audi"
232128029,"Audi"
232944188,"Audi"
231591424,"Audi"
219245746,"Audi"
230284474,"Audi"
233306113,"Audi"
232911280,"Audi"
230999316,"Audi"
233442170,"Audi"
233329615,"Audi"
230490042,"Audi"
232675532,"Audi"
227238149,"Audi"
214372295,"Audi"
233420326,"Audi"
233295408,"Audi"
231342776,"Audi"
233347049,"Audi"
222590322,"Audi"
231278699,"Audi"
232894141,"Audi"
232503858,"Audi"
227883968,"Audi"
232405866,"Audi"
220501797,"Audi"
233443853,"Audi"
222693295,"Audi"
233025238,"Audi"
231868721,"Audi"
213306190,"Audi"
233033021,"Audi"
232011443,"Audi"
226984767,"Audi"
233016228,"Audi"
232121083,"Audi"
233447697,"Audi"
233443843,"Audi"
230942632,"Audi"
230488505,"Audi"
229647714,"Audi"
233347774,"Audi"
232973404,"Audi"
233560950,"Audi"
231695191,"Audi"
233443956,"Audi"
230548211,"Audi"
232168652,"Audi"
230346441,"Audi"
233033044,"Audi"
231909263,"Audi"
233407556,"Audi"
231587339,"Audi"
233316015,"Audi"
229761488,"Audi"
231639232,"Audi"
229085688,"Audi"
231502874,"Audi"
232573758,"Audi"
224436582,"Audi"
230650175,"Audi"
222088660,"Audi"
228055888,"Audi"
232876384,"Audi"
231986907,"Audi"
231917652,"Audi"
232389818,"Audi"
230998946,"Audi"
230156695,"Audi"
232970098,"Audi"
220719309,"Audi"
233550693,"Audi"
232495396,"Audi"
228655901,"Audi"
233084571,"Audi"
223869283,"Audi"
232622503,"Audi"
231719147,"Audi"
230503627,"Audi"
232601877,"Audi"
231967053,"Audi"
233067126,"Audi"
230381689,"Audi"
233443836,"Audi"
226472989,"Audi"
232914494,"Audi"
232894491,"Audi"
230319986,"Audi"
232733253,"Audi"
231769341,"Audi"
231678300,"Audi"
233364065,"Audi"
233443831,"Audi"
232902728,"Audi"
228974207,"Audi"
233357599,"Audi"
233087879,"Audi"
231218303,"Audi"
232426089,"Audi"
233382801,"Audi"
231026179,"Audi"
230861915,"Audi"
233443838,"Audi"
231252568,"Audi"
232037532,"Audi"
225269097,"Audi"
233554798,"Audi"
230458228,"Audi"
233092234,"Audi"
231250021,"Audi"
233469357,"Audi"
227239330,"Audi"
229103223,"Audi"
224604763,"Audi"
233080393,"Audi"
233329617,"Audi"
231919286,"Audi"
228792711,"Audi"
232166641,"Audi"
232987790,"Audi"
230246073,"Audi"
231351246,"Audi"
231692094,"Audi"
232708460,"Audi"
227685096,"Audi"
231911453,"Audi"
230819393,"Audi"
220533540,"Audi"
227789092,"Audi"
232264433,"Audi"
232389826,"Audi"
232389822,"Audi"
228492748,"Audi"
231398859,"Audi"
222007099,"Audi"
231479800,"Audi"
228482615,"Audi"
232372154,"Audi"
230080305,"Audi"
224891842,"Audi"
229575714,"Audi"
231968377,"Audi"
230794214,"Audi"
229914118,"Audi"
223690903,"Audi"
228771737,"Audi"
226392854,"Audi"
230194408,"Audi"
232979261,"Audi"
232978832,"Audi"
233077788,"Audi"
233354325,"Audi"
232925562,"Audi"
228552227,"Audi"
230159025,"Audi"
228078848,"Audi"
224708500,"Audi"
233187369,"Audi"
231638607,"Audi"
231909900,"Audi"
229343544,"Audi"
233424848,"Audi"
230152060,"Audi"
233443936,"Audi"
228941281,"Audi"
232107007,"Audi"
232673437,"Audi"
232405364,"Audi"
233443888,"Audi"
233308731,"Audi"
232513605,"Audi"
228499097,"Audi"
232895266,"Audi"
231919289,"Audi"
214039631,"Audi"
233256769,"Audi"
232836408,"Audi"
232973941,"Audi"
233351896,"Audi"
233329605,"Audi"
232565588,"Audi"
231471668,"Audi"
223050250,"Audi"
231470206,"Audi"
233252815,"Audi"
232515981,"Audi"
233127079,"Audi"
225472627,"Audi"
230451732,"Audi"
233365235,"Audi"
229970778,"Audi"
230441464,"Audi"
228336294,"Audi"
228336292,"Audi"
233198763,"Audi"
224373065,"Audi"
233410786,"Audi"
231747878,"Audi"
232973670,"Audi"
227559444,"Audi"
214176160,"Audi"
233021384,"Audi"
232968767,"Audi"
232892614,"Audi"
222013406,"Audi"
227738102,"Audi"
229761487,"Audi"
231508802,"Audi"
232168653,"Audi"
232732873,"Audi"
233425126,"Audi"
231986973,"Audi"
232391794,"Audi"
232483632,"Audi"
231401989,"Audi"
210474564,"Audi"
230650174,"Audi"
231066735,"Audi"
229160732,"Audi"
232942423,"Audi"
232858308,"Audi"
232563128,"Audi"
231765343,"Audi"
231013310,"Audi"
225269462,"Audi"
232439448,"Audi"
233483116,"Audi"
232017602,"Audi"
233414884,"Audi"
232807105,"Audi"
226915005,"Audi"
233481554,"Audi"
232279244,"Audi"
226952550,"Audi"
230865080,"Audi"
218737388,"Audi"
233132401,"Audi"
220567798,"Audi"
232618654,"Audi"
232027542,"Audi"
231985974,"Audi"
233363589,"Audi"
232246565,"Audi"
231111695,"Audi"
229902749,"Audi"
233168145,"Audi"
233151048,"Audi"
232869262,"Audi"
233515470,"Audi"
231238155,"Audi"
230758305,"Audi"
232501384,"Audi"
233376388,"Audi"
233155772,"Audi"
232173597,"Audi"
218765059,"Audi"
232787429,"Audi"
231831023,"Audi"
232343968,"Audi"
233261699,"Audi"
230013365,"Audi"
233035437,"Audi"
233551843,"Audi"
233551637,"Audi"
228729400,"Audi"
233500182,"Audi"
233310714,"Audi"
233301472,"Audi"
231311184,"Audi"
231142504,"Audi"
233188066,"Audi"
233580314,"Audi"
233579417,"Audi"
233578267,"Audi"
232131795,"Audi"
229851812,"Audi"
233540297,"Audi"
233499412,"Audi"
230051990,"Audi"
230965620,"Audi"
231137424,"Audi"
233238098,"Audi"
232685960,"Audi"
232626971,"Audi"
230645793,"Audi"
228798326,"Audi"
230829636,"Audi"
233442339,"Audi"
233089836,"Audi"
230954434,"Audi"
233017161,"Audi"
232829450,"Audi"
217884688,"Audi"
232705829,"Audi"
233036931,"Audi"
232707544,"Audi"
230494635,"Audi"
232825717,"Audi"
232287542,"Audi"
231403279,"Audi"
224442777,"Audi"
233023694,"Audi"
232957712,"Audi"
232306389,"Audi"
233264298,"Audi"
232956148,"Audi"
232869901,"Audi"
232199447,"Audi"
231675236,"Audi"
231616420,"Audi"
233355659,"Audi"
232306387,"Audi"
233104006,"Audi"
233006883,"Audi"
232327115,"Audi"
231021138,"Audi"
232904983,"Audi"
233351034,"Audi"
232390994,"Audi"
231112901,"Audi"
233115549,"Audi"
233033902,"Audi"
232235650,"Audi"
232628246,"Audi"
230879888,"Audi"
226466978,"Audi"
226270973,"Audi"
231376533,"Audi"
233432571,"Audi"
233075600,"Audi"
232562607,"Audi"
233388869,"Audi"
231616668,"Audi"
204431139,"Audi"
233539853,"Audi"
233483017,"Audi"
233405890,"Audi"
233144282,"Audi"
232836109,"Audi"
231268447,"Audi"
233112430,"Audi"
232801746,"Audi"
231089764,"Audi"
232089949,"Audi"
229658365,"Audi"
169669701,"Audi"
233312269,"Audi"
232197242,"Audi"
228288264,"Audi"
185877344,"Audi"
232780820,"Audi"
232116862,"Audi"
231440984,"Audi"
230992462,"Audi"
226109818,"Audi"
232423786,"Audi"
230608054,"Audi"
232575653,"Audi"
232305986,"Audi"
231481462,"Audi"
230801992,"Audi"
233239395,"Audi"
231260069,"Audi"
232898419,"Audi"
231013006,"Audi"
227999140,"Audi"
214279823,"Audi"
231788214,"Audi"
229345980,"Audi"
233219760,"Audi"
231351777,"Audi"
233010346,"Audi"
225758381,"Audi"
